Abbreviated source title,Abstract,Abstract type,Access type,Accession number,Article number,Author,Author affiliation,CODEN,Classification code,Conference code,Conference date,Conference location,Conference name,Controlled/Subject terms,Copyright,Corresponding author,DOI,Data Provider,Database,Document type,E-ISSN,Funding details,Funding text,ISBN13,ISSN,Issue,Issue date,Language,Main heading,Monograph title,Number of references,Pages,Part number,Publication year,Publisher,Source,Sponsor,Title,Title of translation,Uncontrolled terms,Volume,Volume title
Bull. Seismol. Soc. Am.,"We have obtained tomographic maps of Lg coda Q and its frequency dependence at 1 Hz for all of North America assuming that all of our coda Q data can be described by a power law. Our map of Q0displays highest values (700-1000) throughout a large region that coincides with the Canadian Shield and exhibits sharp changes inQ0across much of the boundary separating the high values of the shield from lower values outside it. A second high Q region appears as a small oval of high Q0values (650-700) overlying much of the Ozark uplift in the central United States. A band of low values (200-350) covers most of Central America and Mexico and extends northward from California into western Canada before broadening in Alaska. A north-south-trending band of high η values, extending from northern Canada to the gulf coast, separates the North American Cordillera from stable portions of central North America. We compared our Q0and η determinations with those found in five earlier studies in two regions of the United States. In the present study, in each region these values agree with values found in the earlier studies when earthquake-station distances are greater than 300 km but differ when distances are less than that. The similarity of our Q0measurements to previous direct Lg and Lg coda measurements and the inverse correlation we find of Q0with upper mantle temperatures suggest that we may predominantly be measuring intrinsic Q0. We propose a mechanism for explaining why scattering dominates over intrinsic attenuation for Lg and Lg coda propagation at short distances but can be secondary to intrinsic attenuation at long distances. It can be nicely described using a ray characterization for Lg and understanding that at short distances many near-vertical traveling rays are multiply reflected in the crust and much energy is lost to the mantle. At greater distances (say 300 km), virtually all of the reflected waves exceed the critical angle and so cannot easily be lost to the mantle. © 2015, Seismological Society of America. All rights reserved.",,,20150600499058,,"Mitchell, Brian J. (1); Cong, Lianli (2); Jemberie, Alemayehu L (3) ","(1) Department of Earth and Atmospheric Sciences, Saint Louis University, 3642 Lindell Boulevard, St. Louis; MO; 63108, United States (2) Department of Geophysics, Yunnan University, P.O. Box 650091, Kunming; Yunnan, United States (3) Impact Forecasting, Aon Corporation, Impact Forecasting, 200 E. Randolph Street, Chicago; IL; 60601, United States ",BSSAAP,481.3 Geophysics - 484.1 Earthquake Measurements and Analysis - 746 Imaging Techniques,,,,,Geophysics - Seismology,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Mitchell, Brian J. ",10.1785/0120130235,Engineering Village,Compendex,Journal article (JA),19433573,,,,00371106,1,2015,English,Tomography,,31.0,409-419,,2015,"Seismological Society of America, 201 Plaza Professional Building, El Cerrito, CA 94530, United States",Bulletin of the Seismological Society of America,,Continent-wide maps of Lg coda Q for North America and their relationship to crustal structure and evolution,,Canadian shields - Crustal structure - Earthquake stations - Frequency dependence - Inverse correlation - Northern Canada - Reflected waves - Tomographic maps,105,
Int. J. u e Serv. Sci. Technol.,"Fair resource is a key building block of any shared computing system. Recently fair division theory has emerged as a promising approach for the allocation of multiple computational resources among agents. Recent research has discussed efficiency and fairness requirements and identified a number if desirable scheduling objectives including so-called dominant resource fairness(DRF). DRF is not good between fair and resource utilization. A new allocation model Balancing Fairness and Efficiency with Bottleneck-Aware Allocation(BAA) find good appropriate balance between fairness to the clients and maximizing system utilization. But BAA without taking into account the weight value and maximum number of tasks which are users need to run. We propose the IBAA fair allocation mechanism. IBAA has lots of good properties, it satisfies DSI, PE and EF. We construct IBAA mechanisms that provably satisfy properties, and analyze the performance. We believe that our work informs the design of superior multiusers system, and at the same time expands the scope of fair division theory by initiating the study of dynamic and fair resource allocation mechanisms. © 2015 SERSC.",,,20162502505784,,"Liu, Jun (1); Liu, Xi (2) ","(1) College of Mathematics and Information Science, Qujing Normal University, Qujing; Yunnan, China (2) Colleg of Information Science and Engineering, Yunnan University, Kunming; Yunnan, China ",,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722.4 Digital Computers and Systems - 912.2 Management - 913.1 Production Engineering",,,,,Cloud computing - Efficiency - Resource allocation,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.14257/ijunesst.2015.8.11.39,Engineering Village,Compendex,Journal article (JA),,,,,20054246,11,2015,English,Computation theory,,12.0,415-424,,2015,Science and Engineering Research Support Society,"International Journal of u- and e- Service, Science and Technology",,Improve constrained recourse fairness in cloud computing with bottleneck-aware allocation,,Allocation model - Computational resources - Dominant resource fairness - Efficiency and fairness - Fair resource allocation - Recent researches - Resource utilizations - System utilization,8,
IEEE/ACM Trans. Comput. BioL. Bioinf.,"Protein complexes play a significant role in understanding the underlying mechanism of most cellular functions. Recently, many researchers have explored computational methods to identify protein complexes from protein-protein interaction (PPI) networks. One group of researchers focus on detecting local dense subgraphs which correspond to protein complexes by considering local neighbors. The drawback of this kind of approach is that the global information of the networks is ignored. Some methods such as Markov Clustering algorithm (MCL), PageRank-Nibble are proposed to find protein complexes based on random walk technique which can exploit the global structure of networks. However, these methods ignore the inherent core-attachment structure of protein complexes and treat adjacent node equally. In this paper, we design a weighted PageRank-Nibble algorithm which assigns each adjacent node with different probability, and propose a novel method named WPNCA to detect protein complex from PPI networks by using weighted PageRank-Nibble algorithm and core-attachment structure. Firstly, WPNCA partitions the PPI networks into multiple dense clusters by using weighted PageRank-Nibble algorithm. Then the cores of these clusters are detected and the rest of proteins in the clusters will be selected as attachments to form the final predicted protein complexes. The experiments on yeast data show that WPNCA outperforms the existing methods in terms of both accuracy and p-value.The software for WPNCA is available at 'http://netlab.csu.edu.cn/bioinfomatics/weipeng/WPNCA/download.html' © 2004-2012 IEEE.",,,20150800563468,6867299,"Peng, Wei (1, 2); Wang, Jianxin (1); Zhao, Bihai (1); Wang, Lusheng (3) ","(1) School of Information Science and Engineering, Central South University, Changsha; 410083, China (2) Faculty of Information Engineering and Automation, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China (3) Department of Computer Science, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, Hong Kong ",,722 Computer Systems and Equipment - 804.1 Organic Compounds - 903.1 Information Sources and Analysis - 922.1 Probability Theory,,,,,Complex networks - Proteins - Random processes,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/TCBB.2014.2343954,Engineering Village,Compendex,Journal article (JA),,,,,15455963,1,"January 1, 2015",English,Clustering algorithms,,36.0,179-192,,2015,Institute of Electrical and Electronics Engineers Inc.,IEEE/ACM Transactions on Computational Biology and Bioinformatics,,Identification of protein complexes using weighted PageRank-nibble algorithm and core-attachment structure,,Core-attachment structures - Global informations - Identification of proteins - PageRank - Protein complexes - Protein interaction networks - Protein-protein interaction networks - Random Walk,12,
ACS Appl. Mater. Interfaces,"Currently, many types of affinity materials have been developed for the enrichment of glycoproteins potentially considered to be clinical biomarkers; however, they can not effectively distinguish between different glycoproteins and thus lack the functionality that may be the key to the diagnosis of specific diseases. In the present work, a novel interface-free 2D monolithic material has been developed for the separation of multiple types of glycoproteins, in which boronate-functionalized graphene acts as preconcentration segment and poly(guanidinium ionic liquid) acts as separation segment. The resultant 2D material was characterized by X-ray photoelectron spectroscopy, elemental analysis, and electroosmotic flow analysis to demonstrate successful modification at each step. The performance of this 2D material was evaluated by capillary electrochromatography and allowed the successful online concentration and separation of five standard glycoproteins. The high separation efficiency can be largely attributed to the good orthogonality of boronate-functionalized graphene monolith and poly(guanidinium ionic liquid) monolith. © 2015 American Chemical Society.",,,20153801289138,,"Liu, Cuicui (1); Deng, Qiliang (1); Fang, Guozhen (1); Huang, Xuan (1); Wang, Shuo (1); He, Jinsong (2) ","(1) Key Laboratory of Food Nutrition and Safety, Tianjin Key Laboratory of Food Nutrition and Safety, Tianjin University of Science and Technology, Tianjin; 300457, China (2) Institute of Food Science and Technology, Yunnan Agricultural University, Yunnan; 650201, China ",,461.6 Medicine and Pharmacology - 461.9 Biology - 701.1 Electricity: Basic Concepts and Phenomena - 804 Chemical Products Generally - 951 Materials Science,,,,,Diagnosis - Electroosmosis - Glycoproteins - Graphene - Ionic liquids - Two dimensional - X ray photoelectron spectroscopy,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Fang, Guozhen(fangguozhen@tust.edu.cn) ",10.1021/acsami.5b07668,Engineering Village,Compendex,Journal article (JA),19448252,,,,19448244,36,"September 16, 2015",English,Interfaces (materials),,46.0,20430-20437,,2015,American Chemical Society,ACS Applied Materials and Interfaces,,A novel poly(ionic liquid) interface-free two-dimensional monolithic material for the separation of multiple types of glycoproteins,,Capillary electrochromatography - Clinical biomarkers - Functionalized graphene - Guanidinium - High separation efficiency - Monolithic material - Online concentrations - Pre-concentration and separations,7,
Neurocomputing,"In this paper we propose a subspace learning algorithm based on supervised manifold learning techniques to address the problem of inferring 3D human poses from monocular video frames. Low-dimensional representations of visual features are computed via spectral embedding, regularized by the pairwise relationship of poses for simultaneously preserving the locality in the feature space and taking account of similarities in the pose space. To deal with the 'out-of-sample' problem, we obtain a global linear projection from the embedding whereby the Euclidean distances between transformed feature vectors can faithfully reflect the corresponding pose distances. To retrieve the most similar candidate from the exemplar database, weighted sum of Euclidean distances of features is employed to achieve better accuracy instead of simply summing up the squared distances of all feature types. The experimental results on HumanEva dataset validate the efficacy of our proposed method. © 2015 Elsevier B.V..",,,20151900835805,,"Yu, Jun (1); Guo, Yukun (2); Tao, Dapeng (3); Wan, Jian (1) ","(1) Hangzhou Dianzi University, China (2) Xiamen University, China (3) School of Information Science and Engineering, Yunnan University, China ",NRCGEO,723.2 Data Processing and Image Processing,,,,,Three dimensional computer graphics,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Tao, Dapeng(dapeng.tao@gmail.com) ",10.1016/j.neucom.2015.04.005,Engineering Village,Compendex,Journal article (JA),18728286,,,,09252312,,"October 20, 2015",English,Learning algorithms,,45.0,301-308,,2015,Elsevier B.V.,Neurocomputing,,Human pose recovery by supervised spectral embedding,,Euclidean distance - Human pose estimations - Linear projections - Low-dimensional representation - Monocular video - Spectral embedding - Squared distances - Supervised manifold learning,166,
Proc SPIE Int Soc Opt Eng,"Copy-move forgery is one of the most simple and commonly used forging methods, where a part of image itself is copied and pasted on another part of the same image. This paper presents a new approach for copy-move forgery detection where fractional Fourier transform (FRFT) is used. First, the 1-level discrete wavelet transform (DWT) of the forged image is to reduce its dimension. Next, the low frequency the sub-band is divided into overlapped blocks of equal size. The fractional Fourier transform of each block is calculated and the vector of the coefficients is constructed. All feature vectors are sorted using lexicographical order. Finally, the difference of adjacent feature vectors is evaluated and employed to locate the duplicated regions which have the same feature vectors. Experimental results show that the proposed method is effective in detection of the copy-move forgery regions. © 2015 SPIE.",,,20154501514844,96310B,"Yang, Renqing (1); Bai, Zhengyao (1); Yin, Liguo (1); Gao, Hao (1) ","(1) Schoolt of Information Science and Engineering, Yunnan University, Kunming; 650091, China ",PSISDG,921.1 Algebra - 921.3 Mathematical Transformations,115652.0,"April 9, 2015 - April 10, 2015","Los Angeles, CA, United states","7th International Conference on Digital Image Processing, ICDIP 2015",Digital forensics - Discrete wavelet transforms - Fourier transforms - Vectors,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1117/12.2197146,Engineering Village,Compendex,Conference article (CA),1996756X,,,9781628418293.0,0277786X,,2015,English,Image processing,"Seventh International Conference on Digital Image Processing, ICDIP 2015",12.0,,1of1,2015,SPIE,Proceedings of SPIE - The International Society for Optical Engineering,,Detecting of copy-move forgery in digital images using fractional Fourier transform,,Adjacent feature vector - Copy moves - Copy-move forgeries - Copy-move forgery detections - Feature vectors - Fractional Fourier transforms - Image forensics - New approaches,9631,
Appl Therm Eng,"A novel solar water-bath solid adsorption ice-making system with activated carbon-methanol as adsorption working pairs was designed and constructed. The experimental results demonstrated that the desorption temperature and the desorption time had important influences on performance of the ice-making system. The daily ice-making capacity of 5.1 kg and refrigeration cycle coefficient of performance (COP) of 0.0322 could be obtained when the desorption temperature was maintained at 94 °C. However, there were no ice-making phenomenon when the desorption temperature was respectively maintained at 85 °C and 75 °C. With the increasing of desorption time from 7 h to 12 h when the desorption temperature was maintained at 94 °C, the COP of the system dropped gradually from 0.0507 to 0.0370, and the heat utilization efficiency decreased from 0.5969 to 0.4608 due to the gradual increase of energy imported into the system. The daily ice-making capacity increased rapidly from 5.5 kg to 7.6 kg when the desorption time increased from 7 h to 10 h, however, the daily ice-making capacity increased slightly from 7.6 kg to 7.7 kg when the desorption time was increased from 10 h to 12 h. There was an optimal desorption time of 10 h for the system. © 2015 Elsevier Ltd. All rights reserved.",,,20154701579951,,"Song, Xiangbo (1); Ji, Xu (1); Li, Ming (1); Wang, Qiang (1); Dai, Yuan (1); Liu, Jiaxing (1) ","(1) Solar Energy Research Institute, Yunnan Normal University, Kunming, Yunnan; 650500, China ",ATENFT,525.2 Energy Conservation - 644.1 Refrigeration Methods - 802.3 Chemical Operations - 804 Chemical Products Generally,,,,,Activated carbon - Adsorption - Desorption - Energy efficiency - Refrigeration,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Ji, Xu(jixu@ynnu.edu.cn) ",10.1016/j.applthermaleng.2015.06.034,Engineering Village,Compendex,Journal article (JA),,"Number: 51366014, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The present study was supported by National Natural Science Foundation, China (Grant No. 51366014 ).",,13594311,,"July 4, 2015",English,Ice,,29.0,316-322,,2015,Elsevier Ltd,Applied Thermal Engineering,,Effect of desorption parameters on performance of solar water-bath solid adsorption ice-making system,,Adsorption working pairs - Coefficient of Performance - Desorption temperatures - Desorption time - Heat utilization - Optimal desorption - Refrigeration cycles - Water baths,89,
J. Comput. Inf. Syst.,"Ontology similarity measuring and ontology mapping are widely used in various fields such as biology science. In this paper, we propose a new optimization model for ontology similarity measurement and ontology mapping in multi-dividing setting. New similarity function is designed from the idea of partial AUC criterion. Finally, the two experiments demonstrate the new algorithms have higher efficiency. ©, 2014, Journal of Computational Information Systems. All right reserved.",,,20150900580289,,"Zhu, Linli (1); Gao, Wei (2) ","(1) School of Computer Engineering, Jiangsu University of Technology, Changzhou, China (2) School of Information, Yunnan Normal University, Kunming, China ",,"723 Computer Software, Data Handling and Applications - 902.1 Engineering Graphics - 903 Information Science - 921.5 Optimization Techniques",,,,,Ontology - Optimization,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zhu, Linli ",10.12733/jcis13029,Engineering Village,Compendex,Journal article (JA),,,,,15539105,1,"January 1, 2015",English,Mapping,,21.0,377-386,,2015,Binary Information Press,Journal of Computational Information Systems,,Ontology similarity measuring and ontology mapping based on new optimization model in multi-dividing setting,,Higher efficiency - Ontology mapping - Optimization modeling - Similarity functions - Similarity measure - Similarity measurements - Similarity measuring,11,
"IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","Digital image processing is widely used in the crack detection and location. In order to guide staff maintenance equipment more effectively and timely, the image detection system based on crack which has been put forward. On the basis of LabVIEW platform, Crack image in this system is acquired that using two industrial cameras, and then used the SIFT feature matching, RANSAC and image fusion to stitch the acquired images. Finally, the edge detection and threshold processing algorithm is used to segment and locate the crack and digital. The experimental results show that this system display accurate analysis results; it can provide a good technical support for researches in detection field. © 2015 IEEE.",,,20161102092708,7279391,"Wang, Sen (1); San, Hong-Jun (1); Liu, Xiao-Qin (1); Wu, Xing (1); Liu, Tao (1) ","(1) Department of Mechanical and Electrical Engineering, Kunming University of Science and Technology, Kunming, Yunnan Province, China ",,"723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing - 731 Automatic Control Principles and Applications",116345.0,"August 8, 2015 - August 10, 2015","Yunnan, China","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics",Automation - Edge detection - Image acquisition - Image fusion,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","San, Hong-Jun(sanhjun@163.com) ",10.1109/ICInfA.2015.7279391,Engineering Village,Compendex,Conference article (CA),,,,9781467391047.0,,,"September 28, 2015",English,Crack detection,"2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics",6.0,787-790,1of1,2015,Institute of Electrical and Electronics Engineers Inc.,"2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong",Design and simulation of the image detection system based on crack,,Accurate analysis - Crack image - Design and simulation - Image detection systems - Image stitching - object positioning - Technical support - Threshold processing,,
Catal. Sci. Technolog.,"The transformation of aromatic aldehydes into aryl ketones by nickel-catalyzed cross-coupling has been developed. This transformation represents an efficient and attractive synthetic utilization of organozinc reagents. The reaction provides a mild, practical method toward the synthesis of aryl ketones which are versatile intermediates and building blocks in organic synthesis. © The Royal Society of Chemistry 2015.",,,20153401196194,,"Jin, Cheng (1); Gu, Lijun (2, 3); Yuan, Minglong (3) ","(1) New United Group Company Limited, Changzhou; Jiangsu; 213166, China (2) Key Laboratory of Chemistry in Ethnic Medicinal Resources, State Ethnic Affairs Commission, Ministry of Education, Kunming, China (3) Engineering Research Center of Biopolymer Functional Materials of Yunnan, Yunnan Minzu University, Kunming; Yunnan; 650500, China ",CSTAGD,548.1 Nickel - 802.2 Chemical Reactions - 804 Chemical Products Generally - 804.1 Organic Compounds,,,,,Aldehydes - Catalysis - Nickel - Organometallics - Reaction intermediates,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Gu, Lijun(gulijun2005@126.com) ",10.1039/c5cy00876j,Engineering Village,Compendex,Journal article (JA),20444761,,,,20444753,9,"July 7, 2015",English,Ketones,,78.0,4341-4345,,2015,Royal Society of Chemistry,Catalysis Science and Technology,,Nickel N-heterocyclic carbene-catalyzed cross-coupling reaction of aryl aldehydes with organozinc reagents to produce aryl ketones,,Aromatic aldehyde - Building blockes - Cross coupling reactions - Cross-couplings - N-heterocyclic carbenes - Organic synthesis - Organozinc reagents - Practical method,5,
